D. J. Segelstein, "The complex refractive index of water," University of
Missouri-Kansas City, (1981).

lambda	absorption
(nm)	(1/cm)
13060	2985.7
13090	3013.4
13150	3041.7
13210	3069.8
13240	3091.3
13300	3113.2
13340	3132.2
13400	3153.8
13460	3176.1
13490	3191.4
13550	3214.4
13610	3222.4
13650	3235.0
13710	3250.2
13740	3266.0
13800	3274.5
13840	3287.8
13900	3296.2
13960	3312.6
14000	3317.5
14060	3326.6
14090	3334.7
14160	3334.2
14190	3342.2
14260	3340.7
14290	3349.6
14350	3350.4
14390	3356.9
14450	3358.6
14490	3357.1
14550	3366.6
14590	3372.8
14660	3372.2
14690	3373.0
14760	3372.3
14790	3373.1
14860	3372.5
14890	3374.1
14960	3373.4
15000	3372.0
15070	3372.2
15100	3372.9
15140	3364.0
15210	3364.2
15240	3365.0
15310	3365.3
15350	3356.5
15420	3356.7
15450	3357.5
15490	3357.0
15560	3350.0
15600	3348.6
15670	3348.9
15700	3342.5
15740	3342.0
15810	3335.1
15850	3333.9
15890	3325.5
15960	3326.6
16000	3318.3
16030	3312.1
16110	3302.7
16140	3304.3
16220	3295.8
16260	3287.7
16290	3281.6
16370	3273.2
16410	3265.3
16440	3266.9
16480	3259.0
16560	3250.1
16600	3242.3
16630	3236.4
16710	3228.4
16750	3220.7
16790	3213.1
16870	3205.3
16900	3192.2
16940	3184.6
16980	3177.1
17060	3169.6
17100	3162.2
17140	3147.5
17220	3140.1
17260	3132.9
17300	3118.3
17340	3111.2
17420	3096.9
17460	3089.8
17500	3075.5
17540	3068.5
17620	3054.6
17660	3047.7
17700	3034.4
17740	3027.5
17780	3013.7
17860	3007.2
17910	2991.8
17950	2985.1
17990	2971.5
18030	2964.9
18110	2951.8
18160	2943.7
18200	2930.3
18240	2923.9
18280	2910.6
18370	2896.4
18410	2890.1
18450	2877.7
18490	2864.6
18540	2850.1
18620	2837.9
18660	2825.7
18710	2811.5
18750	2798.8
18790	2792.8
18840	2779.4
18880	2766.9
18970	2753.7
19010	2735.4
19050	2723.0
19100	2710.0
19140	2698.4
19190	2684.8
19230	2673.4
19320	2660.9
19360	2648.9
19410	2636.3
19450	2624.4
19500	2606.1
19540	2594.9
19590	2581.9
19630	2570.9
19680	2558.6
19770	2547.0
19820	2528.5
19860	2512.0
19910	2494.3
19950	2483.7
20000	2471.8
20990	2285.8
21980	2127.9
23010	1981.9
23990	1823.9
25000	1686.9
26000	1559.7
26980	1445.3
27990	1342.8
28970	1253.2
29990	1180.4
30970	1132.5
31990	1099.1
33040	1076.4
33960	1059.4
34990	1047.3
35970	1044.9
36980	1042.6
38020	1054.4
38990	1069.1
39990	1081.6
41020	1098.9
41980	1119.2
42950	1135.2
43950	1150.8
44980	1166.7
46030	1180.2
46990	1194.1
47970	1199.5
48980	1199.4
50000	1199.6
52000	1202.3
53950	1183.0
55980	1158.8
57940	1135.0
59980	1101.6
61940	1064.3
63970	1030.5
66070	995.30
68080	961.49
69980	929.10
71940	897.50
73960	867.04
76030	839.47
77980	809.13
79980	779.94
82040	751.62
83950	724.34
85900	698.24
87900	674.49
89950	650.18
92040	628.04
93970	608.19
95940	587.45
97950	568.85
100000	550.78
109900	477.50
119900	436.73
130000	404.64
140000	377.44
150000	357.22
160000	340.31
169800	325.85
179900	314.75
190100	304.81
200000	295.12
209900	286.41
219800	278.60
230100	271.10
239900	264.84
250000	258.26
260000	251.76
269800	246.02
279900	240.42
289700	235.54
299900	230.67
319900	222.34
339600	214.80
359700	208.46
380200	202.77
399900	197.72
419800	193.17
439500	188.40
460300	183.65
479700	179.50
500000	175.80
520000	172.18
539500	168.66
559800	165.19
579400	162.19
599800	159.58
650100	153.11
699800	149.30
749900	146.21
799800	143.23
849200	140.59
899500	137.40
950600	133.65
1000000	130.94
1100000	127.95
1200000	124.72
1300000	121.89
1400000	119.38
1500000	116.70
1600000	114.04
1700000	111.69
1800000	109.40
1900000	106.95
2000000	104.93
2100000	102.80
2200000	100.70
2300000	98.837
2400000	97.023
2500000	95.052
2600000	93.329
2700000	91.828
2800000	90.164
2900000	88.528
3000000	87.085
3100000	85.532
3200000	84.116
3300000	82.786
3400000	81.275
3500000	79.994
3600000	78.714
3700000	77.640
3800000	76.390
3900000	75.173
4000000	74.142
4100000	72.946
4200000	71.927
4300000	70.810
4400000	69.829
4500000	68.696
4600000	67.776
4700000	66.842
4800000	65.921
4900000	65.012
5000000	64.114
5100000	63.251
5200000	62.373
5300000	61.528
5400000	60.668
5500000	59.976
5600000	59.152
5700000	58.356
5800000	57.675
5901000	56.880
6001000	56.225
6100000	55.457
6200000	54.826
6299000	54.084
6400000	53.466
6500000	52.721
6599000	52.120
6700000	51.522
6800000	50.820
6899000	50.236
7000000	49.655
7101000	49.090
7199000	48.527
7300000	47.976
7399000	47.317
7501000	46.774
7600000	46.231
7700000	45.712
7800000	45.191
7900000	44.666
8000000	44.155
8100000	43.656
8200000	43.155
8300000	42.756
8400000	42.262
8500000	41.779
8600000	41.308
8700000	40.833
8800000	40.455
8900000	40.001
9000000	39.542
9100000	39.080
9200000	38.724
9300000	38.280
9400000	37.846
9500000	37.501
9600000	37.071
9700000	36.727
9800000	36.301
9900000	35.897
10000000	35.563
11000000	32.067
12000000	29.039
13000000	26.418
14000000	24.100
15000000	22.033
16000000	20.232
17000000	18.620
18000000	17.181
19000000	15.853
20000000	14.690
21000000	13.643
22000000	12.703
23000000	11.856
24000000	11.064
25000000	10.375
26000000	9.7196
27000000	9.1269
28000000	8.5900
29000000	8.0945
30000000	7.6403
31000000	7.2196
32000000	6.8369
33000000	6.4774
34000000	6.1464
35000000	5.8416
36000000	5.5536
37000000	5.2881
38000000	5.0431
39000000	4.8107
40000000	4.5961
41000000	4.3952
42000000	4.2037
43000000	4.0271
44000000	3.8613
45000000	3.7057
46000000	3.5568
47000000	3.4170
48000000	3.2882
49000000	3.1621
50000000	3.0461
51000000	2.9346
52000000	2.8298
53000000	2.7314
54000000	2.6366
55000000	2.5475
56000000	2.4617
57000000	2.3810
58000000	2.3031
59010000	2.2296
60010000	2.1590
61000000	2.0930
62000000	2.0289
62990000	1.9684
64000000	1.9099
65000000	1.8538
65990000	1.8007
67000000	1.7495
68000000	1.7005
68990000	1.6535
70000000	1.6085
71010000	1.5653
71990000	1.5235
73000000	1.4835
73990000	1.4452
75010000	1.4082
76000000	1.3727
77000000	1.3384
78000000	1.3056
79000000	1.2737
80000000	1.2431
81000000	1.2135
82000000	1.1851
83000000	1.1575
84000000	1.1310
85000000	1.1052
86000000	1.0804
87000000	1.0564
88000000	1.0333
89000000	1.0108
89990000	0.98908
90990000	0.96799
92000000	0.94767
93000000	0.92788
93990000	0.90889
94990000	0.89032
96010000	0.87209
97010000	0.85468
97990000	0.83793
98990000	0.82147
100000000	0.80538
109900000	0.66834
119900000	0.56386
130000000	0.48168
140000000	0.41613
150000000	0.36334
160000000	0.31989
169800000	0.28396
179900000	0.25356
190100000	0.22793
200000000	0.20590
209900000	0.18697
219800000	0.17054
230100000	0.15619
239900000	0.14358
250000000	0.13240
260000000	0.12252
269800000	0.11369
279900000	0.10577
289700000	0.098640
299900000	0.092268
309700000	0.086508
319900000	0.081078
330400000	0.076372
339600000	0.071935
349900000	0.067914
359700000	0.064282
369800000	0.060827
380200000	0.057676
389900000	0.054823
399900000	0.052132
410200000	0.049659
419800000	0.047296
429500000	0.045204
439500000	0.043146
449800000	0.041292
460300000	0.039531
469900000	0.037841
479700000	0.036308
489800000	0.034841
500000000	0.033502
510500000	0.032222
520000000	0.030981
529700000	0.029844
539500032	0.028720
549500032	0.027740
559800000	0.026736
570200000	0.025829
579400000	0.024942
590200000	0.024102
599800000	0.023339
609500032	0.022535
619400000	0.021830
629500032	0.021180
639699968	0.020508
650099968	0.019910
660700032	0.019267
669900032	0.018749
680800000	0.018196
690200000	0.017661
699800000	0.017180
709600000	0.016710
719400000	0.016219
729500032	0.015812
739600000	0.015382
749900032	0.014963
760300032	0.014589
769100032	0.014223
779800000	0.013836
790700032	0.013490
799800000	0.013184
809100032	0.012852
820400000	0.012531
829900032	0.012245
839500032	0.011939
849200000	0.011668
859000000	0.011403
871000000	0.011142
879000000	0.010889
889200000	0.010666
899500032	0.010423
909900032	0.010185
920400000	0.0099777
929000000	0.0097717
939699968	0.0095508
950600000	0.0093540
959400000	0.0091622
970499968	0.0089745
979500032	0.0087907
990800000	0.0086295
1000000000	0.0084534
1099000064	0.0069990
1199000064	0.0058912
1300000000	0.0050236
1400000000	0.0043336
1500000000	0.0037749
1600000000	0.0033254
1698000000	0.0029447
1799000064	0.0026299
1900999936	0.0023606
2000000000	0.0021331
2099000064	0.0019361
2198000128	0.0017660
2300999936	0.0016149
2399000064	0.0014861
2500000000	0.0013677
2600000000	0.0012678
2697999872	0.0011747
2799000064	0.0010941
2896999936	0.0010185
2999000064	0.00095285
3096999936	0.00089348
3199000064	0.00083750
3304000000	0.00078882
3396000000	0.00074303
3499000064	0.00070140
3596999936	0.00066378
3697999872	0.00062798
3801999872	0.00059560
3899000064	0.00056628
3999000064	0.00053829
4102000128	0.00051160
4198000128	0.00048853
4295000064	0.00046550
4394999808	0.00044576
4497999872	0.00042549
4602999808	0.00040732
4698999808	0.00038991
4797000192	0.00037408
4897999872	0.00035893
5000000000	0.00034507
5104999936	0.00033182
5200000000	0.00031923
5296999936	0.00030769
5394999808	0.00029651
5495000064	0.00028586
5598000128	0.00027544
5702000128	0.00026600
5793999872	0.00025701
5902000128	0.00024826
5998000128	0.00024052
6095000064	0.00023277
6193999872	0.00022540
6295000064	0.00021779
6397000192	0.00021137
6501000192	0.00020509
6607000064	0.00019857
6698999808	0.00019321
6808000000	0.00018754
6902000128	0.00018198
6998000128	0.00017702
7096000000	0.00017178
7193999872	0.00016711
7295000064	0.00016292
7395999744	0.00015849
7498999808	0.00015417
7602999808	0.00015032
7690999808	0.00014622
7798000128	0.00014257
7906999808	0.00013900
7998000128	0.00013553
8090999808	0.00013244
8204000256	0.00012911
8298999808	0.00012618
8394999808	0.00012301
8492000256	0.00012022
8590000128	0.00011749
8709999616	0.00011481
8789999616	0.00011221
8892000256	0.00010965
8995000320	0.00010740
9098999808	0.00010496
9203999744	0.00010281
9290000384	0.00010069
9397000192	9.8410e-05
9505999872	9.6383e-05
9594000384	9.4411e-05
9704999936	9.2477e-05
9795000320	9.0575e-05
9907999744	8.8921e-05
10000000000	8.7097e-05
